"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Andaman and Nicobar","South Andaman","Port Blair","Amaranthus","Amaranthus","04/03/2019","6000","8000","7000"
"Andaman and Nicobar","South Andaman","Port Blair","Banana - Green","Banana - Green","04/03/2019","4500","5500","5000"
"Andaman and Nicobar","South Andaman","Port Blair","Bhindi(Ladies Finger)","Bhindi","04/03/2019","6000","8000","7000"
"Andaman and Nicobar","South Andaman","Port Blair","Bitter gourd","Other","04/03/2019","6000","8000","7000"
"Andaman and Nicobar","South Andaman","Port Blair","Black pepper","Other","04/03/2019","110000","130000","120000"
"Andaman and Nicobar","South Andaman","Port Blair","Bottle gourd","Other","04/03/2019","3000","4000","3500"
"Andaman and Nicobar","South Andaman","Port Blair","Brinjal","Other","04/03/2019","7000","8000","7500"
"Andaman and Nicobar","South Andaman","Port Blair","Cabbage","Other","04/03/2019","6000","7000","6500"
"Andaman and Nicobar","South Andaman","Port Blair","Carrot","Other","04/03/2019","9000","11000","10000"
"Andaman and Nicobar","South Andaman","Port Blair","Cauliflower","Other","04/03/2019","10000","12000","11000"
"Andaman and Nicobar","South Andaman","Port Blair","Cluster beans","Cluster Beans","04/03/2019","8000","10000","9000"
"Andaman and Nicobar","South Andaman","Port Blair","Coconut","Big","04/03/2019","5400","6000","5600"
"Andaman and Nicobar","South Andaman","Port Blair","Colacasia","Other","04/03/2019","5000","7000","6000"
"Andaman and Nicobar","South Andaman","Port Blair","Onion","Other","04/03/2019","2000","3500","3000"
"Andaman and Nicobar","South Andaman","Port Blair","Potato","Other","04/03/2019","2000","3500","3000"
"Andhra Pradesh","Chittor","Kalikiri","Tomato","Local","04/03/2019","400","960","620"
"Andhra Pradesh","Chittor","Mulakalacheruvu","Tomato","Local","04/03/2019","200","500","300"
"Andhra Pradesh","Chittor","Vayalapadu","Tomato","Local","04/03/2019","400","1120","760"
"Andhra Pradesh","Kurnool","Banaganapalli","Bengal Gram(Gram)(Whole)","Desi (Whole)","04/03/2019","4500","4700","4600"
"Andhra Pradesh","Kurnool","Banaganapalli","Jowar(Sorghum)","Jowar ( White)","04/03/2019","1800","1950","1900"
"Andhra Pradesh","Kurnool","Banaganapalli","Paddy(Dhan)(Common)","Sona Mahsuri","04/03/2019","1900","2000","1950"
"Andhra Pradesh","West Godavari","Attili","Paddy(Dhan)(Common)","Paddy","04/03/2019","1750","1770","1760"
"Assam","Cachar","Cachar","Lentil (Masur)(Whole)","Masur Dal","04/03/2019","5200","7200","7000"
"Assam","Cachar","Cachar","Rice","Common","04/03/2019","2200","2500","2400"
"Assam","Cachar","Cachar","Rice","Fine","04/03/2019","2500","3000","2800"
"Assam","Darrang","Kharupetia","Bitter gourd","Bitter Gourd","04/03/2019","6000","6500","6400"
"Assam","Darrang","Kharupetia","Bottle gourd","Bottle Gourd","04/03/2019","800","900","850"
"Assam","Darrang","Kharupetia","Brinjal","Round","04/03/2019","800","900","850"
"Assam","Darrang","Kharupetia","Cabbage","Cabbage","04/03/2019","300","400","350"
"Assam","Darrang","Kharupetia","Carrot","Carrot","04/03/2019","1000","1100","1050"
"Assam","Darrang","Kharupetia","Cauliflower","Local","04/03/2019","1400","1500","1450"
"Assam","Darrang","Kharupetia","Cluster beans","Cluster Beans","04/03/2019","4000","4200","4100"
"Assam","Darrang","Kharupetia","Cucumbar(Kheera)","Cucumbar","04/03/2019","1500","1600","1550"
"Assam","Darrang","Kharupetia","Field Pea","Field Pea","04/03/2019","2800","3000","2900"
"Assam","Darrang","Kharupetia","French Beans (Frasbean)","French Beans (Frasbean)","04/03/2019","2200","2300","2250"
